Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,path:ppu00190,0.7575762674693158,2.033214456636523,0.0,0.0,0.0,20/28,16.37%,atpF;cyoE;cyoB;nuoB;cyoA;nuoC;nuoE;nuoI;nuoA;nuoJ;nuoF;atpH;atpE;nuoN;nuoM;nuoL;atpA;nuoG;atpB;nuoH
prerank,path:ppu00550,0.8488343562131515,2.0119431615626806,0.0,0.0,0.0,12/18,6.83%,ftsW;murF;murD;mraY;murC;murE;murG;ddlA;mrcA;murB;mtgA;ftsI
prerank,path:ppu03010,0.6536104875323674,1.9635456259720678,0.0,0.0,0.0,31/54,19.30%,rpsF;rplW;rpmI;rplK;rplN;rplX;rplO;rplF;rpsJ;rplI;rpsP;rplA;rplT;rplE;rpsR;rpsD;rplC;rplP;rplS;rpsC;rplR;rpsE;rpsS;rplD;rpsK;rpmC;rplV;rplB;rpmD;rpsM;rplJ
prerank,path:ppu00290,0.9161760109544009,1.879625547314762,0.0,0.003209259502827831,0.008,7/9,6.26%,leuC;leuB;ilvI;leuA;ilvD;ilvE;leuD
prerank,path:ppu01210,0.7532684756464482,1.844893450484802,0.002352941176470588,0.004492963303958964,0.013,9/20,9.72%,leuC;leuB;ilvI;leuA;ilvD;ilvE;icd;leuD;argA
prerank,path:ppu01100,0.45395349246934535,1.775108324752099,0.0,0.017116050681748433,0.061,122/400,17.39%,metE;ushA;murF;murD;leuC;mraY;murC;murE;leuB;murG;bioC;aceA;ilvI;leuA;ispE;atpF;nrdA;ddlA;mrcA;prs;cyoE;bioF;cyoB;birA;trpB;bglX;ilvD;nuoB;hutU;cyoA;hutH;glpK;ilvE;aspC;purD;ppsA;icd;metB;dadX;nrdB;trpA;nuoC;nadA;murB;glnA;thrB;accC;leuD;proB;hisB;nuoE;mtgA;pepN;nuoI;ftsI;dauA;pncB;bioA;hisH;ispD;glpD;thrC;nuoA;rbsK;lpxB;hisG;selD;aroC;mtnA;proA;purL;metF;argA;nuoJ;thiI;glmU;argH;diaA;nuoF;atpH;gph;accB;purM;serB;moeA;ispF;bioD;asnB;pyrF;ubiD;atpE;apt;hisD;maeB;glmS;ydfG;murA;pdxB;metH;nuoN;acnB;nuoM;suhB;nuoL;hisA;pheA;atpA;pyrC;nuoG;waaA;atpB;pdxY;pbpC;mrcB;nuoH;fbp;dxs;nadD;hisF;pgm;carB;plsY
prerank,path:ppu00660,0.9381365225426525,1.7283614191070205,0.0,0.028654102703819923,0.114,4/6,6.26%,leuC;leuB;ilvI;leuD
prerank,path:ppu01502,0.9519786571809693,1.6806317704702132,0.004291845493562232,0.05174930948309877,0.215,5/5,5.01%,murF;mraY;murG;ddlA;dadX
prerank,path:ppu01230,0.5322586531133606,1.6785098337514255,0.002544529262086514,0.04706913937480819,0.218,32/72,15.44%,metE;leuC;leuB;ilvI;leuA;prs;trpB;ilvD;ilvE;aspC;icd;metB;trpA;glnA;thrB;leuD;proB;hisB;hisH;thrC;hisG;aroC;proA;argA;argH;serB;asnB;hisD;metH;acnB;hisA;pheA
prerank,path:ppu00920,-0.6925738387525605,-1.6118380567303563,0.01601423487544484,0.22322017665212301,0.337,8/17,12.11%,cysA;cysD;cysW;cysK;tauA;cysQ;cysH;cysI
prerank,path:ppu01110,0.4500447329032462,1.6118235276665083,0.0026595744680851063,0.08905695120347232,0.403,62/184,19.83%,metE;ushA;leuC;leuB;aceA;ilvI;leuA;ispE;prs;cyoE;trpB;bglX;ilvD;ilvE;aspC;purD;ppsA;icd;metB;trpA;glnA;thrB;accC;leuD;proB;hisB;hisH;ispD;glpD;thrC;hisG;aroC;proA;purL;argA;argH;accB;purM;serB;ispF;asnB;ubiD;hisD;metH;acnB;suhB;hisA;pheA;fbp;dxs;hisF;pgm;carB;plsY;plsX;hemF;aroB;gltB;gltD;carA;purB;serA
prerank,path:ppu00340,0.7500370948078104,1.6024849581161005,0.02027027027027027,0.08942163978333911,0.432,8/11,16.99%,hutU;hutH;hisB;hisH;hisG;hisD;hisA;hisF
prerank,path:ppu00470,0.8159602616461874,1.5678370210313484,0.0321285140562249,0.11967863562628787,0.542,4/7,6.88%,murD;ddlA;dadX;dauA
prerank,path:ppu00250,0.6410879180816581,1.512464964932047,0.0400890868596882,0.18897601149343882,0.737,11/18,24.18%,glnA;argH;asnB;glmS;carB;gltB;gltD;carA;purB;purF;ansA
prerank,path:ppu00900,0.734572750541687,1.4507410163206127,0.0752212389380531,0.28046635726498936,0.866,5/9,22.54%,ispE;ispD;ispF;dxs;ispA
prerank,path:ppu00750,0.7186975283655015,1.4158584947903161,0.10940919037199125,0.32862817308956993,0.93,5/8,24.49%,thrC;pdxB;pdxY;pdxA;pdxJ
prerank,path:ppu03410,0.6924606811851003,1.4091156137369791,0.09594882729211088,0.32132710772063655,0.939,3/10,15.00%,recJ;ung;tag
prerank,path:ppu02025,-0.798375217626581,-1.3756806349391086,0.0944741532976827,1.0,0.973,3/5,9.89%,csrA;pabA;flgM
prerank,path:ppu00780,0.6375606395496795,1.3639626077030156,0.12095032397408208,0.3951164787893324,0.977,5/11,11.58%,bioC;bioF;birA;bioA;bioD
prerank,path:ppu00760,0.6080168445717206,1.363052043522074,0.10816777041942605,0.37539421573355547,0.978,3/13,6.97%,ushA;nadA;pncB
prerank,path:ppu00540,0.7203787083400249,1.3387084192041165,0.14782608695652175,0.40808268204379156,0.988,3/7,20.01%,lpxB;waaA;lpxH
prerank,path:ppu02060,-0.7269691366133595,-1.3308975267640804,0.14951456310679612,0.9800574651484516,0.99,3/6,14.77%,fruA;fruK;fruB
prerank,path:ppu00910,0.6822967895494114,1.2979240969776111,0.19703389830508475,0.4805866105484678,0.993,3/7,19.48%,glnA;gltB;gltD
prerank,path:ppu00360,-0.5889300765126572,-1.2906951200392063,0.1786339754816112,0.9179099712674258,0.999,11/14,29.86%,katG;paaZ;paaH;paaD;paaI;paaE;paaG;paaK;paaF;paaC;paaA
